Id,SalePrice
1461,124658.0
1462,160156.14
1463,184922.69
1464,192026.47
1465,187671.94
1466,169974.08
1467,171458.9
1468,170580.94
1469,180077.92
1470,123121.44
1471,195485.64
1472,94063.53
1473,102471.14
1474,149332.14
1475,136064.48
1476,371906.2
1477,259946.14
1478,310432.9
1479,220574.86
1480,507878.34
1481,305019.34
1482,208584.89
1483,168187.38
1484,171351.52
1485,177219.6
1486,195005.03
1487,317973.6
1488,236700.31
1489,211539.69
1490,208928.06
1491,184906.34
1492,90045.87
1493,200604.1
1494,288074.44
1495,279785.5
1496,233406.17
1497,187272.75
1498,158986.28
1499,154394.95
1500,150969.36
1501,175871.48
1502,159088.98
1503,303207.38
1504,227056.06
1505,225006.86
1506,193180.39
1507,242796.44
1508,205172.42
1509,164399.34
1510,146329.69
1511,148725.33
1512,169536.08
1513,158391.77
1514,158700.55
1515,197087.67
1516,162678.06
1517,152393.0
1518,127981.83
1519,229519.78
1520,136506.28
1521,142949.8
1522,161308.62
1523,114632.96
1524,125192.48
1525,125499.69
1526,121232.39
1527,99477.26
1528,127842.21
1529,149157.8
1530,169110.27
1531,115819.14
1532,94137.164
1533,151693.56
1534,119082.53
1535,155869.47
1536,111438.53
1537,74400.56
1538,182542.36
1539,197302.62
1540,97034.6
1541,142345.77
1542,145960.62
1543,212933.83
1544,74924.58
1545,103796.93
1546,131606.16
1547,140716.16
1548,137588.5
1549,122329.85
1550,144406.34
1551,107771.43
1552,140693.06
1553,148494.4
1554,113591.36
1555,173349.9
1556,93374.664
1557,109619.875
1558,92624.48
1559,98595.92
1560,133275.34
1561,140948.89
1562,129365.086
1563,120898.79
1564,159915.88
1565,149691.39
1566,236015.27
1567,65916.65
1568,232796.5
1569,156940.73
1570,124256.45
1571,131372.94
1572,146851.42
1573,232620.86
1574,101904.03
1575,224017.27
1576,231155.92
1577,201010.64
1578,143821.72
1579,147174.78
1580,187929.48
1581,149264.78
1582,129013.25
1583,338826.44
1584,231789.3
1585,141309.92
1586,70200.38
1587,94664.88
1588,155093.73
1589,91367.086
1590,134423.25
1591,99792.6
1592,117373.625
1593,123444.79
1594,128081.195
1595,109087.695
1596,251837.14
1597,182349.64
1598,200251.55
1599,183169.92
1600,175417.25
1601,68163.86
1602,111756.59
1603,93970.266
1604,274611.62
1605,242184.88
1606,168647.56
1607,169793.23
1608,213767.62
1609,197956.45
1610,165770.16
1611,141090.89
1612,159007.5
1613,154899.56
1614,118746.36
1615,88694.766
1616,74598.3
1617,91965.63
1618,129886.87
1619,135362.66
1620,145193.47
1621,136487.14
1622,145605.6
1623,316685.8
1624,213263.56
1625,124497.28
1626,167818.64
1627,188122.17
1628,293936.38
1629,179781.42
1630,393721.4
1631,233848.28
1632,239027.44
1633,172056.28
1634,186315.61
1635,183662.94
1636,158983.34
1637,175043.97
1638,209065.44
1639,179563.95
1640,257282.64
1641,182473.1
1642,232380.23
1643,211861.12
1644,224850.78
1645,207323.33
1646,155094.39
1647,160624.25
1648,134970.48
1649,139514.62
1650,110399.375
1651,117767.57
1652,94620.93
1653,96096.0
1654,150225.14
1655,146995.31
1656,148851.28
1657,154493.6
1658,145573.31
1659,139961.78
1660,152886.42
1661,454158.5
1662,411193.0
1663,382883.88
1664,407894.84
1665,316320.25
1666,301418.28
1667,344077.44
1668,343743.25
1669,313825.94
1670,317837.97
1671,255928.31
1672,469276.5
1673,299344.53
1674,257391.95
1675,187042.53
1676,193192.86
1677,217893.44
1678,467526.44
1679,402927.06
1680,335877.34
1681,256822.72
1682,293313.06
1683,177446.0
1684,170768.05
1685,179542.69
1686,170352.25
1687,169241.14
1688,185187.7
1689,188981.94
1690,183533.14
1691,179484.55
1692,272749.47
1693,170003.2
1694,186587.77
1695,168646.48
1696,277137.2
1697,175832.12
1698,401297.94
1699,322570.66
1700,256195.27
1701,258522.14
1702,251175.83
1703,243530.83
1704,289370.0
1705,220919.28
1706,449376.47
1707,224150.73
1708,212570.38
1709,278665.28
1710,216449.1
1711,260814.56
1712,216965.66
1713,252749.06
1714,222987.38
1715,211311.62
1716,182715.81
1717,167888.69
1718,135225.45
1719,196557.5
1720,250022.31
1721,161713.55
1722,128867.13
1723,154304.6
1724,208174.36
1725,231267.14
1726,191545.66
1727,164616.97
